Starting Nmap 7.94SVN ( https://nmap.org ) at 2024-09-22 14:21 EDT
Nmap scan report for 115.243.113.46
Host is up (0.29s latency).

PORT      STATE    SERVICE    VERSION
1102/tcp  open     ftp        Microsoft ftpd
1104/tcp  open     ftp        Microsoft ftpd
1105/tcp  open     ftp        Microsoft ftpd
1106/tcp  open     ftp        Microsoft ftpd
1107/tcp  open     ftp        Microsoft ftpd
1108/tcp  open     ftp        Microsoft ftpd
1110/tcp  open     ftp        Microsoft ftpd
1111/tcp  open     ftp        Microsoft ftpd
1112/tcp  open     ftp        Microsoft ftpd
1113/tcp  open     ftp        Microsoft ftpd
1114/tcp  open     ftp        Microsoft ftpd
1117/tcp  open     ftp        Microsoft ftpd
1119/tcp  open     ftp        Microsoft ftpd
1121/tcp  open     ftp        Microsoft ftpd
1122/tcp  open     ftp        Microsoft ftpd
1123/tcp  open     ftp        Microsoft ftpd
1124/tcp  open     ftp        Microsoft ftpd
1126/tcp  open     ftp        Microsoft ftpd
1130/tcp  open     ftp        Microsoft ftpd
1131/tcp  open     ftp        Microsoft ftpd
1132/tcp  open     ftp        Microsoft ftpd
1137/tcp  open     ftp        Microsoft ftpd
1138/tcp  open     ftp        Microsoft ftpd
1141/tcp  open     ftp        Microsoft ftpd
1145/tcp  open     ftp        Microsoft ftpd
1147/tcp  open     ftp        Microsoft ftpd
1148/tcp  open     ftp        Microsoft ftpd
1149/tcp  open     ftp        Microsoft ftpd
1151/tcp  open     ftp        Microsoft ftpd
1152/tcp  open     ftp        Microsoft ftpd
1154/tcp  open     ftp        Microsoft ftpd
1163/tcp  open     ftp        Microsoft ftpd
1164/tcp  open     ftp        Microsoft ftpd
1165/tcp  open     ftp        Microsoft ftpd
1166/tcp  open     ftp        Microsoft ftpd
1169/tcp  open     ftp        Microsoft ftpd
1174/tcp  open     ftp        Microsoft ftpd
1175/tcp  open     ftp        Microsoft ftpd
1183/tcp  open     ftp        Microsoft ftpd
1185/tcp  open     ftp        Microsoft ftpd
1186/tcp  open     ftp        Microsoft ftpd
1187/tcp  open     ftp        Microsoft ftpd
1192/tcp  open     ftp        Microsoft ftpd
1198/tcp  open     ftp        Microsoft ftpd
1199/tcp  open     ftp        Microsoft ftpd
1201/tcp  open     ftp        Microsoft ftpd
1213/tcp  open     ftp        Microsoft ftpd
1216/tcp  open     ftp        Microsoft ftpd
1217/tcp  open     ftp        Microsoft ftpd
1218/tcp  open     ftp        Microsoft ftpd
1233/tcp  open     ftp        Microsoft ftpd
1234/tcp  open     ftp        Microsoft ftpd
1236/tcp  open     ftp        Microsoft ftpd
1244/tcp  open     ftp        Microsoft ftpd
1247/tcp  open     ftp        Microsoft ftpd
1248/tcp  open     ftp        Microsoft ftpd
1259/tcp  open     ftp        Microsoft ftpd
1271/tcp  open     ftp        Microsoft ftpd
1272/tcp  open     ftp        Microsoft ftpd
1277/tcp  open     ftp        Microsoft ftpd
1287/tcp  open     ftp        Microsoft ftpd
1296/tcp  open     ftp        Microsoft ftpd
1300/tcp  open     ftp        Microsoft ftpd
1301/tcp  open     ftp        Microsoft ftpd
1309/tcp  open     ftp        Microsoft ftpd
1310/tcp  open     ftp        Microsoft ftpd
1311/tcp  open     ftp        Microsoft ftpd
1322/tcp  open     ftp        Microsoft ftpd
1328/tcp  open     ftp        Microsoft ftpd
1334/tcp  open     ftp        Microsoft ftpd
1352/tcp  open     ftp        Microsoft ftpd
1417/tcp  open     ftp        Microsoft ftpd
1433/tcp  open     ftp        Microsoft ftpd
1434/tcp  open     ftp        Microsoft ftpd
1443/tcp  open     ftp        Microsoft ftpd
1455/tcp  open     ftp        Microsoft ftpd
1461/tcp  open     ftp        Microsoft ftpd
1494/tcp  open     ftp        Microsoft ftpd
1500/tcp  open     ftp        Microsoft ftpd
1501/tcp  open     ftp        Microsoft ftpd
1503/tcp  open     ftp        Microsoft ftpd
1521/tcp  open     ftp        Microsoft ftpd
1524/tcp  open     ftp        Microsoft ftpd
1533/tcp  open     ftp        Microsoft ftpd
1556/tcp  open     ftp        Microsoft ftpd
1580/tcp  open     ftp        Microsoft ftpd
1583/tcp  open     ftp        Microsoft ftpd
1594/tcp  open     ftp        Microsoft ftpd
1600/tcp  open     ftp        Microsoft ftpd
1641/tcp  open     ftp        Microsoft ftpd
1658/tcp  open     ftp        Microsoft ftpd
1666/tcp  open     ftp        Microsoft ftpd
1687/tcp  open     ftp        Microsoft ftpd
1688/tcp  open     ftp        Microsoft ftpd
1700/tcp  open     ftp        Microsoft ftpd
1717/tcp  open     ftp        Microsoft ftpd
1718/tcp  open     ftp        Microsoft ftpd
1719/tcp  open     ftp        Microsoft ftpd
1720/tcp  open     ftp        Microsoft ftpd
1721/tcp  open     ftp        Microsoft ftpd
1723/tcp  open     pptp?
1755/tcp  open     ftp        Microsoft ftpd
1761/tcp  open     ftp        Microsoft ftpd
1782/tcp  open     ftp        Microsoft ftpd
1783/tcp  open     ftp        Microsoft ftpd
1801/tcp  open     ftp        Microsoft ftpd
1805/tcp  open     ftp        Microsoft ftpd
1812/tcp  open     ftp        Microsoft ftpd
1839/tcp  open     ftp        Microsoft ftpd
1840/tcp  open     ftp        Microsoft ftpd
1862/tcp  open     ftp        Microsoft ftpd
1863/tcp  open     ftp        Microsoft ftpd
1864/tcp  open     ftp        Microsoft ftpd
1875/tcp  open     ftp        Microsoft ftpd
1900/tcp  open     ftp        Microsoft ftpd
